"","Bivalves","Catfish","Crayfish","Croakers","Fat Sleepers","Flatfish","Gastropods","Gobies","Halfbeaks","Herrings","Infauna","Jacks","Mexican mojarras","Mojarras","Mollies","Mullets","Needlefish","Pinfish","Polychaetes","Rays","Sea mammals","Shrimp","Snappers","Snooks","Swimming crabs","Toadfish","Zooplankton"
"Bivalves",0,0.031,0,0.136,0,0.027,0.104,0.065,0,0,0,0.082,0,0,0,0,0,0.1,0,0.029,0,0,0,0,0,0.052,0
"Catfish",0,0.008,0,0.105,0,0,0,0,0,0,0,0.025,0.133,0,0,0,0.01,0,0,0.2,0.35,0,0,0.358,0,0.108,0
"Crayfish",0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0.012,0,0.013,0
"Croakers",0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0.034,0.011,0,0,0.129,0,0.026,0.029,0,0,0
"Detritus",0,0,0.235,0.056,0,0,0,0,0,0,0.064,0.045,0.309,0.011,0.06,0.243,0,0,0.271,0,0,0.311,0,0,0.226,0,0
"Fat Sleepers",0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0.03,0,0,0,0,0.009,0,0,0,0,0,0,0
"Flatfish",0,0.001,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0.017,0,0,0.026,0.009,0,0.021,0
"Gastropods",0,0,0,0,0.109,0,0.006,0.009,0,0,0,0.005,0,0,0,0.014,0,0.081,0,0.008,0,0,0,0,0.014,0.008,0
"Gobies",0,0.003,0,0.009,0,0.037,0,0,0.004,0,0,0.079,0,0,0,0,0,0.098,0,0.012,0,0,0.344,0.008,0,0,0
"Halfbeaks",0,0.004,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0,0,0,0,0,0,0,0,0,0
"Herrings",0,0.003,0,0,0,0,0,0,0.009,0.007,0,0.045,0,0,0,0,0.042,0,0,0,0.268,0,0.138,0.027,0.027,0,0
"Infauna",0.007,0.056,0.124,0,0.404,0.48,0.065,0.47,0.125,0.07,0.016,0.364,0.111,0.017,0.223,0.085,0.027,0.293,0.03,0,0,0.023,0,0.015,0.3,0.459,0.004
"Jacks",0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.014,0,0,0.027,0,0.007,0.005,0,0,0
"Mexican mojarras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0.077,0.093,0,0,0
"Mojarras",0,0.034,0,0.166,0.12,0.119,0,0.093,0.016,0,0,0.186,0.161,0,0.019,0,0.471,0,0,0,0.084,0,0.129,0.283,0.003,0.08,0.001
"Mollies",0,0,0,0,0,0,0,0,0.002,0.001,0,0,0,0,0.002,0,0.004,0,0,0.009,0,0,0.026,0.002,0,0,0
"Mullets",0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0.007,0.022,0,0.006,0,0,0,0.006,0.011,0,0
"Needlefish",0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phytoplankton",0.335,0,0,0,0,0,0.231,0,0,0.222,0.44,0,0.008,0.289,0.236,0.329,0,0.179,0.151,0,0,0.196,0,0,0,0.21,0.991
"Pinfish",0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0
"Polychaetes",0,0.216,0,0.337,0,0.136,0,0,0,0,0,0,0,0,0,0.072,0,0,0.024,0.098,0,0,0,0,0,0,0
"Rays",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0
"Sea mammals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0
"Shrimp",0,0.013,0,0.153,0,0,0,0,0,0,0,0.108,0,0,0,0,0,0,0,0.26,0.141,0.023,0.121,0.111,0.019,0.022,0
"Snappers",0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0
"Snooks",0,0.003,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0.01,0,0,0,0,0,0.007,0,0,0,0
"Swimming crabs",0,0.001,0,0.011,0,0.011,0,0.004,0,0,0,0.022,0.019,0,0,0,0,0,0,0.026,0,0,0,0.026,0.034,0,0
"Toadfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0.086,0,0,0,0,0,0,0
"Wigeongrass",0.268,0.545,0.494,0,0.196,0.151,0.591,0.031,0.548,0.236,0.123,0,0.216,0.316,0.189,0.174,0.122,0,0.405,0.236,0,0.393,0.099,0,0.366,0.027,0
"Zooplankton",0.39,0.081,0.147,0,0.171,0.038,0.004,0.328,0.296,0.462,0.357,0,0.008,0.367,0.24,0.082,0,0.203,0.12,0,0,0.054,0,0,0,0,0.004
